"technician_ID","password","name","surname","date_of_birth","laboratory_code"
"358","9c9107db","allyson","cruz","19710602","LAB560"
"359","01bd44","jessica","kline","19560923","LAB856"
"360","3569d33","manuel","pugh","19860417","LAB748"
"361","33c905a402c7","tenley","camacho","19450407","LAB072"
"362","e2351e264ea","derrick","welch","19900722","LAB925"
"363","5a7fb3e5dc5","heath","william","19800109","LAB553"
"364","bc42d372","janae","coleman","19500715","LAB767"
"365","545288f0f8","margaret","fuller","19580306","LAB908"
"366","2a4844","jocelynn","potter","19730216","LAB913"
"367","57479d64dbd","alessandro","moreno","19770724","LAB650"
"368","6bff085ebf21","bridget","fields","19560106","LAB229"
"369","6f42d400ff77","aryan","manning","19571011","LAB307"
"370","3b0d48b33a94","maverick","noel","19580603","LAB696"
"371","96c03060e1","emely","cote","19700412","LAB321"
"372","d2c420b5731","jerry","newman","19500822","LAB223"
"373","3f7efff2dcae","kale","herman","19750831","LAB743"
"374","1bb681b0","madyson","woodward","19771022","LAB123"
"375","54e17c02","alisson","mcintosh","19551115","LAB122"
"376","7237108df1ff","masen","mueller","19510806","LAB056"
"377","3a51cc6da","victoria","kirk","19570526","LAB683"
"378","47d216","hunter","jimenez","19670221","LAB478"
"379","63dd405","frank","franks","19900929","LAB716"
"380","11d0fc4b6eb","nathanael","snider","19410722","LAB443"
"381","ebec8a","danica","king","19620119","LAB072"
"382","b09f77569d","damarion","fields","19860901","LAB494"
"383","e3ab40","emilie","petty","19500129","LAB771"
"384","4ae9f","quinn","becker","19920114","LAB200"
"385","2c91ec9a8cd2","katelynn","mcfadden","19620426","LAB933"
"386","2dbc498","jorge","sawyer","19420403","LAB972"
"387","281c626","deshawn","estes","19680930","LAB377"
"388","57b64d2382d9","fabian","branch","19711223","LAB258"
"389","47db6","maggie","maxwell","19540813","LAB170"
"390","2dca1c714e","trey","collins","19860126","LAB395"
"391","dbfb5e283a1","lindsay","flynn","19880505","LAB416"
"392","d622b6506e1d","matilda","mcdonald","19750512","LAB210"
"393","efc27bcb4888","myah","giles","19521026","LAB787"
"394","d456a017950","milan","ramsey","19570919","LAB426"
"395","3dccdfac64a","diamond","oneil","19411104","LAB140"
"396","9cfcdd","ernest","dillon","19891112","LAB690"
"397","1f1a0102","jaliyah","page","19540204","LAB044"
"398","6b39957","wilson","carey","19440310","LAB763"
"399","b636927","rylan","simmons","19520808","LAB048"
